,,,,,8.6,8.23,8.06
,,,,,8.64,8.28,8.29
,,,,,8.5,8.29,8.09
,,,,,8.53,8.28,8.11
,,,,,8.44,8.11,7.74
,,,,,8.23,7.83,7.27
,,,,,8.22,7.63,7.17
,,,,,6.92,6.76,6.92
8.15,8.06,7.97,7.73,7.49,6.95,6.7,6.46
7.06,7.07,7.08,6.805,6.53,5.78,6.18,5.88
6,5.975,5.95,5.875,5.8,5.49,5.56,5.55
4.84,4.88,4.92,4.915,4.91,4.93,4.35,4.74
3.66,3.85,4.04,4.115,4.19,3.56,4.29,4.32
2.63,2.75,2.87,3.105,3.34,3.58,3.81,3.88
,,,,,2.88,3.27,3.48
,,,,,2.31,2.75,2.973333333
,,,,,1.62,2.04,2.69
,,,,,1.67,2.04,2.48
,,,,,1.64,1.91,2.08
,,,,,1.54,1.61,1.85
,,,,,1.52,1.71,1.96
,,,,,1.48,1.69,1.87
